episode,epsilon,loss,assign,charge,noop,cost_per_order,success_rate,ontime_rate,energy_per_order,n_delivered,n_dropped,depletion_events,episode_return
38,0.05,5.9948052477974425,133,40,0,3.9889459459459653,0.8102189781021898,0.8288288288288288,0.28534234234236167,111.0,26.0,0.0,1127.227
39,0.05,5.954054920375347,118,40,2,2.7419722222222394,0.864,0.9074074074074074,0.2734537037037212,108.0,17.0,0.0,1273.847
40,0.05,6.1744498188902694,122,41,1,3.915073394495432,0.8134328358208955,0.7706422018348624,0.28663302752295494,109.0,25.0,0.0,1083.2470000000003
41,0.05,6.020722840891944,139,40,1,3.3357438016529093,0.8344827586206897,0.8925619834710744,0.2704545454545622,121.0,24.0,0.0,1346.365000000001
42,0.05,6.109214637652937,126,39,1,2.916827586206913,0.8592592592592593,0.8189655172413793,0.25993103448277494,116.0,19.0,0.0,1296.6380000000001
43,0.05,6.343558798538395,121,40,2,1.5170796460177178,0.9338842975206612,0.8230088495575221,0.27814159292037266,113.0,8.0,0.0,1423.5500000000015
44,0.05,6.601152776982743,130,40,3,1.9495916666666848,0.9090909090909091,0.825,0.267925000000018,120.0,12.0,0.0,1461.019000000001
45,0.05,6.461909063931169,134,39,1,3.3616610169491707,0.8368794326241135,0.7966101694915254,0.26928813559323866,118.0,23.0,0.0,1253.314000000001
46,0.05,6.801381592265146,128,35,4,5.307747572815552,0.7573529411764706,0.8349514563106796,0.28930097087380474,103.0,33.0,0.0,913.2619999999996
47,0.05,6.797030832807897,134,42,1,2.276932203389849,0.8872180451127819,0.8898305084745762,0.271847457627137,118.0,15.0,0.0,1436.312
48,0.05,6.909285465432279,136,41,2,2.9160000000000186,0.8551724137931035,0.8387096774193549,0.2579354838709863,124.0,21.0,0.0,1398.3960000000004
49,0.05,6.781002579733383,128,41,3,1.670567796610187,0.921875,0.8898305084745762,0.2765000000000176,118.0,10.0,0.0,1507.843
