episode,reward,steps,loss
339,216.25699999999998,121,4566.82080078125
340,-56.885,107,4048.25634765625
341,-386.941,95,14932.51953125
342,-252.221,102,8831.119140625
343,-78.723,108,6191.5205078125
344,-353.999,109,15788.75
345,-554.842,91,13261.0263671875
346,421.39,120,5407.13134765625
347,-466.505,89,13462.3193359375
348,228.89100000000002,128,3987.449462890625
349,-11.616000000000012,112,4251.75146484375
350,489.061,139,4241.22265625
351,-343.205,84,9281.642578125
352,-285.998,107,5050.7412109375
353,-255.17100000000002,111,5683.79248046875
354,-169.97500000000002,107,5856.33251953125
355,165.234,110,4678.4814453125
356,409.481,141,2429.3759765625
357,-245.68400000000003,110,7208.388671875
358,-48.109000000000016,112,6035.9892578125
359,-186.764,101,8379.4970703125
360,-203.112,97,6475.3779296875
361,-598.117,89,14126.587890625
362,17.54899999999999,107,2964.085205078125
363,182.82600000000002,130,4072.48388671875
364,-5.219999999999997,126,4596.99658203125
365,648.4159999999999,145,3715.0869140625
366,58.45300000000001,125,2966.3720703125
367,763.723,138,4640.35986328125
368,-621.177,91,36512.59765625
369,145.09400000000002,108,3925.833984375
370,-419.616,95,9726.29296875
371,-197.916,92,8295.7900390625
372,300.601,134,2371.99365234375
373,258.838,127,2444.22119140625
374,-332.226,112,5771.4716796875
375,-144.628,96,5668.13623046875
376,-718.57,112,12394.8837890625
377,-379.091,113,12188.4111328125
378,-41.88400000000001,104,7567.3154296875
379,-193.645,102,12069.302734375
380,170.867,121,5494.8681640625
381,151.816,113,1757.352783203125
382,-489.767,78,17409.337890625
383,260.68,115,2996.943359375
384,541.403,139,3676.495849609375
385,-182.52700000000002,109,6511.37451171875
386,-308.218,96,8118.67333984375
387,-620.721,86,19357.41015625
388,620.539,127,5118.16650390625
389,-35.63899999999999,110,3639.39990234375
390,-136.98899999999998,90,4106.34375
391,-336.542,97,12554.91796875
392,-64.89399999999999,129,6061.54931640625
393,815.955,141,4540.89697265625
394,211.486,130,2988.751953125
395,-463.396,87,15673.7353515625
396,109.75600000000001,106,1310.5059814453125
397,-615.254,92,18579.99609375
398,-44.51599999999998,118,8291.16015625
399,144.442,113,3248.337158203125
400,32.78900000000001,113,3744.359375
401,967.2819999999999,156,4968.943359375
402,-689.578,73,24763.244140625
403,626.869,136,4326.265625
404,-973.241,81,47976.1171875
405,-761.333,120,11717.611328125
406,255.344,141,3514.726806640625
407,14.91899999999999,121,2768.1630859375
408,29.273999999999983,121,7233.60595703125
409,-623.63,92,14311.8701171875
410,401.40799999999996,125,6518.470703125
411,-387.414,96,9506.8720703125
412,806.834,136,4790.13134765625
413,-308.053,93,8730.5
414,272.724,129,2555.9814453125
415,233.513,121,2611.982421875
416,669.447,133,3772.306884765625
417,609.021,132,3478.26904296875
418,-670.025,87,18872.61328125
419,-275.881,110,6224.123046875
420,-355.669,101,10122.1806640625
421,-968.904,74,45239.578125
422,-973.803,72,47807.23046875
423,477.335,132,3918.823974609375
424,-541.593,69,21113.240234375
425,-691.244,94,20816.0703125
426,-538.169,84,13192.3056640625
427,-180.603,100,6236.6826171875
428,-260.651,103,7804.0224609375
429,18.454999999999995,121,6447.19775390625
430,-107.07600000000002,98,7760.4208984375
431,-214.852,116,6731.67724609375
432,564.058,137,4829.9638671875
433,-726.238,95,17581.890625
434,-172.578,114,5045.537109375
435,110.409,126,11627.4814453125
436,-814.116,81,26398.28515625
437,-71.946,106,4783.4228515625
438,-305.89300000000003,96,5968.70361328125
439,107.14999999999999,128,2490.899658203125
440,-695.3820000000001,74,29366.611328125
441,-116.76000000000002,129,2473.406982421875
442,-174.945,88,6831.033203125
443,163.829,132,3868.0390625
444,600.009,152,4261.3720703125
445,511.486,147,4081.30322265625
446,-532.1659999999999,115,8078.5712890625
447,237.581,124,1540.6514892578125
448,-82.60400000000001,124,7306.53466796875
449,495.159,144,2785.895263671875
450,366.878,133,2986.093017578125
451,-8.727,128,2558.44140625
452,361.664,139,5050.474609375
453,-486.338,92,11293.2314453125
454,-1178.709,61,87511.6640625
455,95.40299999999999,137,4181.24609375
456,-144.997,110,6550.3623046875
457,-828.7330000000001,74,36637.8828125
458,164.12699999999998,118,8870.7890625
459,138.176,116,3038.53466796875
460,-426.677,97,10746.4755859375
461,152.99,132,6351.23876953125
462,-459.03999999999996,99,11196.927734375
463,-751.271,96,27511.865234375
464,392.59000000000003,129,3203.374267578125
465,-383.017,84,10032.8291015625
466,439.927,139,4040.275146484375
467,160.747,124,3433.365966796875
468,-635.479,95,23104.904296875
469,-304.16700000000003,113,4772.41845703125
470,-135.52,120,4412.57470703125
471,-41.494,122,6304.89013671875
472,148.63299999999998,141,3468.80615234375
473,300.70799999999997,137,3851.17724609375
474,-707.297,93,23129.51953125
475,950.492,146,6423.03369140625
476,549.938,134,3958.9423828125
477,65.516,130,2604.09619140625
478,88.38499999999999,126,3579.484619140625
479,482.27799999999996,136,3122.062744140625
480,129.722,144,2164.06201171875
481,667.099,166,4100.36865234375
482,-52.565000000000005,132,3715.3857421875
483,41.981,111,3623.77587890625
484,164.11599999999999,126,5588.1982421875
485,192.34599999999998,121,2095.521484375
486,-651.496,89,19536.705078125
487,-4.010000000000026,110,4770.66552734375
488,-293.209,125,6080.326171875
489,-1211.795,80,51650.07421875
490,-191.08999999999997,105,6996.8935546875
491,-1129.271,54,109695.6484375
492,-108.52000000000001,117,4869.03955078125
493,-275.23400000000004,94,8570.8681640625
494,-495.715,87,9466.9912109375
495,-688.301,81,43306.10546875
496,146.06599999999997,125,4175.50390625
497,-744.314,99,23255.017578125
498,658.237,147,5719.83935546875
499,-1032.519,112,21911.1953125
500,-1.1579999999999877,112,2123.23681640625
